220,721
218,312
293,327
288,224
287,640
183,315
149,96
234,556
276,609
194,635
178,563
201,663
264,49
288,198
225,759
147,307
220,470
172,557
112,232
255,510
257,260
140,172
276,186
213,172
271,86
272,608
232,224
215,823
191,480
214,214
149,254
244,334
247,317
279,249
228,465
132,252
104,311
187,113
215,798
108,110
272,149
133,429
147,632
103,72
234,706
281,448
234,44
278,810
114,613
294,660
145,699
175,439
123,150
176,270
170,445
111,236
102,790
248,811
159,281
131,462
138,357
277,652
272,564
292,370
164,227
166,451
193,374
196,309
129,596
101,645
270,263
123,732
208,276
291,474
128,821
219,181
194,792
271,274
112,372
293,303
110,97
275,294
178,608
131,573
125,72
108,285
298,836
193,564
145,113
206,497
232,431
298,347
222,546
201,825
281,44
200,397
186,790
145,557
256,674
155,663
120,559
128,696
217,370
262,201
160,206
235,479
215,649
281,619
153,202
147,704
219,605
206,497
156,122
108,637
183,319
257,187
160,776
284,543
292,149
198,486
233,214
210,581
192,229
153,390
110,417
259,410
114,591
172,270
109,718
178,674
263,135
189,154
185,390
188,284
286,752
105,329
172,548
137,121
244,445
274,602
213,303
167,524
268,700
227,279
177,637
223,123
190,221
112,206
232,698
262,432
224,203
134,744
233,768
182,371
119,654
107,677
175,672
179,523
208,553
204,208
289,203
155,740
158,499
244,72
218,72
221,261
168,133
142,403
140,625
214,257
229,809
280,565
290,110
285,490
238,580
115,108
268,154
271,604
162,702
147,820
193,429
170,197
153,318
155,659
135,76
193,219
162,163
127,651
160,557
275,512
141,341
275,598
246,458
229,821
249,622
180,531
157,392
245,144
225,305
194,105
266,613
213,262
249,807
139,630
192,533
256,763
164,728
121,765
278,744
250,784
289,500
276,94
247,147
176,239
160,184
251,102
189,183
195,447
214,353
293,495
248,777
199,101
132,482
105,447
205,627
115,334
136,160
252,524
114,392
200,431
249,107
217,265
243,631
232,216
247,563
190,700
123,696
114,815
176,747
138,816
247,421
246,229
106,656
102,770
297,835
176,112
226,492
283,310
171,497
287,829
124,730
212,709
180,107
193,681
104,419
122,217
265,366
199,440
238,328
146,476
105,108
290,417
150,373
244,541
207,430
273,289
107,337
280,834
101,167
177,714
125,596
291,703
170,106
217,265
214,527
100,566
139,373
188,191
226,573
218,279
172,478
195,259
248,202
282,797
186,170
154,692
124,236
160,162
229,512
185,536
262,411
287,70
231,376
171,512
160,425
196,162
180,680
240,707
252,636
166,539
229,48
279,622
151,215
113,105
159,662
291,700
293,413
145,418
294,617
282,799
176,52
183,694
158,455
185,559
260,138
116,411
242,436
215,533
282,185
143,454
151,217
260,533
261,824
131,134
268,218
249,538
194,497
266,191
139,357
142,304
136,510
119,579
267,751
200,69
133,610
115,834
154,551
145,563
288,302
234,199
234,569
228,656
152,789
159,480
272,648
214,163
131,708
193,149
257,582
230,496
253,789
156,595
135,683
280,282
212,514
227,169
280,53
104,787
215,132
128,502
263,264
166,771
156,385
166,579
255,700
227,280
202,140
202,384
179,790
145,702
240,326
299,565
194,109
163,209
202,755
236,343
189,796
107,324
147,767
187,561
279,765
211,251
293,358
180,53
140,612
177,583
272,311
240,187
273,754
120,57
208,577
180,525
187,470
200,164
185,552
184,565
152,494
171,72
273,87
233,275
178,466
138,797
111,110
195,651
277,643
266,572
167,445
231,221
291,414
298,349
207,435
211,143
222,192
298,98
237,54
140,206
211,672
280,145
161,419
275,686
199,559
253,92
234,488
270,695
174,550
117,644
210,501
270,659
145,216
100,771
239,304
293,470
289,195
177,671
132,415
109,314
200,520
294,758
278,159
251,365
122,184
280,804
177,745
154,91
216,386
251,261
200,353
190,624
188,148
138,269
118,799
110,794
205,317
147,716
111,686
281,408
108,61
212,767
292,465
142,525
296,395
225,40
227,135
180,835
298,776
116,390
244,469
221,525
169,329
169,239
193,754
171,706
239,151
106,488
225,784
190,452
168,348
129,800
118,611
122,262
139,800
120,63
295,267
225,497
235,564
261,400
240,239
201,548
187,155
174,339
234,508
151,480
242,797
122,823
160,351
107,308
201,278
228,54
111,599
206,647
